,year,neighbourhood_cleansed,Demand,Supply,Price,Review Score
0,2019,Barking and Dagenham,98.16666666666667,372,60.52956989247312,93.96505376344086
1,2019,Barnet,547.5833333333334,1659,79.11736237144585,94.47498493068113
2,2019,Bexley,50.75,269,62.70631970260223,92.8364312267658
3,2019,Brent,1180.4166666666667,2561,89.01798279906177,93.17454119484576
4,2019,Bromley,188.33333333333334,679,64.26067746686303,93.9160530191458
5,2019,Camden,3520.3333333333335,5972,132.77996965098635,92.33573342263898
6,2019,City of London,160.08333333333334,465,173.66013071895424,91.7741935483871
7,2019,Croydon,396.6666666666667,1105,59.01721014492754,94.41990950226244
8,2019,Ealing,791.5833333333334,1747,79.20504009163803,94.20034344590727
9,2019,Enfield,194.91666666666666,673,65.4665676077266,94.05646359583953
10,2019,Greenwich,707.75,1653,84.41782898726501,94.18027828191168
11,2019,Hackney,2153.8333333333335,6276,90.04361022364218,94.74267049075844
12,2019,Hammersmith and Fulham,1990.0833333333333,4210,121.48154362416108,92.98907363420427
13,2019,Haringey,856.0,2197,78.70287539936102,94.64588074647246
14,2019,Harrow,134.33333333333334,491,66.6625,93.21588594704684
15,2019,Havering,86.0,255,73.57254901960785,94.68627450980392
16,2019,Hillingdon,424.6666666666667,668,63.971556886227546,93.47455089820359
17,2019,Hounslow,534.9166666666666,1030,90.49657869012708,94.22135922330096
18,2019,Islington,2197.75,5108,109.20687622789784,93.82380579483164
19,2019,Kensington and Chelsea,2493.0,6018,190.07308801085298,92.52376204719175
20,2019,Kingston upon Thames,217.83333333333334,555,78.17837837837838,95.8
21,2019,Lambeth,2773.8333333333335,4854,92.10410224695939,94.33044911413268
22,2019,Lewisham,795.8333333333334,2296,65.93717277486911,94.5030487804878
23,2019,Merton,373.5833333333333,1357,101.21196454948301,95.23286661753869
24,2019,Newham,823.6666666666666,1960,81.94535240040858,93.15867346938775
25,2019,Redbridge,228.5,700,60.20373027259684,93.50142857142858
26,2019,Richmond upon Thames,549.8333333333334,1200,118.71416596814753,95.1925
27,2019,Southwark,2638.5,4893,97.75903365682429,93.48702227672185
28,2019,Sutton,118.41666666666667,306,56.89036544850498,95.08823529411765
29,2019,Tower Hamlets,4082.5833333333335,8246,89.34657434402332,92.1756002910502
30,2019,Waltham Forest,455.0833333333333,1433,68.0,94.39218422889044
31,2019,Wandsworth,1655.4166666666667,4272,113.98758200562324,94.7750468164794
32,2019,Westminster,5051.166666666667,9588,181.76775695988144,91.84574468085107
33,2020,Barking and Dagenham,31.666666666666668,390,59.23076923076923,93.65897435897436
34,2020,Barnet,162.0,1689,81.63787969029184,94.1563055062167
35,2020,Bexley,26.583333333333332,262,55.538167938931295,94.46564885496183
36,2020,Brent,273.6666666666667,2524,95.79928457869634,93.23296354992075
37,2020,Bromley,67.58333333333333,644,67.95496894409938,94.33229813664596
38,2020,Camden,1020.3333333333334,6006,135.43716124661248,92.54945054945055
39,2020,City of London,87.58333333333333,465,169.34347826086957,91.13978494623656
40,2020,Croydon,119.33333333333333,1108,60.35140018066847,94.24729241877256
41,2020,Ealing,194.25,1768,80.78779235596122,94.01640271493213
42,2020,Enfield,69.41666666666667,699,67.11587982832619,93.81545064377683
43,2020,Greenwich,215.16666666666666,1713,86.10655737704919,94.27495621716287
44,2020,Hackney,450.0833333333333,6039,89.74572330177712,94.89451896009273
45,2020,Hammersmith and Fulham,395.4166666666667,4001,122.10558221773175,93.07323169207699
46,2020,Haringey,220.33333333333334,2201,79.91025056947608,94.74557019536574
47,2020,Harrow,45.75,463,67.23362445414847,93.88768898488121
48,2020,Havering,30.166666666666668,266,70.93609022556392,94.05639097744361
49,2020,Hillingdon,123.5,666,65.53915662650603,93.83033033033033
50,2020,Hounslow,143.75,1070,94.67356538099718,93.78504672897196
51,2020,Islington,525.4166666666666,4863,110.34523318200579,93.925149084927
52,2020,Kensington and Chelsea,726.1666666666666,5888,182.41626297577855,92.59256114130434
53,2020,Kingston upon Thames,72.91666666666667,555,78.22784810126582,95.47747747747748
54,2020,Lambeth,555.0833333333334,4771,98.157496850063,94.46803605114232
55,2020,Lewisham,191.83333333333334,2314,66.76886383347788,94.45505617977528
56,2020,Merton,103.58333333333333,1324,106.22441243366187,94.93731117824774
57,2020,Newham,234.83333333333334,2009,81.34479322371699,93.2224987555998
58,2020,Redbridge,64.25,754,65.512,93.16710875331565
59,2020,Richmond upon Thames,143.58333333333334,1200,119.89765100671141,95.42083333333333
60,2020,Southwark,643.5,4855,100.37481667714226,93.59938208032956
61,2020,Sutton,42.916666666666664,321,58.66031746031746,94.47352024922118
62,2020,Tower Hamlets,993.0833333333334,7728,92.72513937508103,92.710533126294
63,2020,Waltham Forest,140.25,1452,67.20703933747411,94.64118457300276
64,2020,Wandsworth,388.9166666666667,4169,117.32700624699663,94.70640441352842
65,2020,Westminster,1447.75,9534,176.5478091949061,92.25781413887141
66,2021,Barking and Dagenham,30.0,402,59.65336658354115,93.50995024875621
67,2021,Barnet,92.0,1638,79.76762722256285,94.19474969474969
68,2021,Bexley,26.0,276,59.0036231884058,94.66304347826087
69,2021,Brent,118.0,2357,91.52168367346938,93.75901569792109
70,2021,Bromley,51.0,600,69.19031719532555,94.57833333333333
71,2021,Camden,427.0,5179,115.63116984065293,93.32245607260089
72,2021,City of London,85.0,441,131.82110091743118,92.2358276643991
73,2021,Croydon,135.0,1139,55.89543057996485,93.96136962247586
74,2021,Ealing,109.0,1696,77.17678571428571,94.53419811320755
75,2021,Enfield,48.0,663,67.49395770392749,93.81146304675717
76,2021,Greenwich,115.0,1558,81.3299035369775,94.2387676508344
77,2021,Hackney,276.0,5709,85.03072331460675,95.0700648099492
78,2021,Hammersmith and Fulham,217.0,3497,110.82800345721694,93.71947383471547
79,2021,Haringey,132.0,2168,73.13657407407408,94.62546125461255
80,2021,Harrow,42.0,448,69.31096196868009,93.59375
